name,clean_name,type
2018_ssgac_cognitive_performance,Cognitive performance,Cognitive
2019_pgc_autism,Autism,Neuropsychiatric
2019-PGC-anorexia,Anorexia,Neuropsychiatric
2021_PGC_bipolar_I_II,Bipolar,Neuropsychiatric
2021_pgc_schizophrenia,Schizophrenia,Neuropsychiatric
2022_ssgac_educational_attainment,Educational attainment,Cognitive
2022_Yengo_height,Height,Other
addiction_Hatoum2023,Addiction,Neuropsychiatric
ADHD-PGC-2019,ADHD,Neuropsychiatric
aggression_Ip_2021,Aggression,Personality
agree_BIG5,Agreeableness,Personality
alcohol_dependency-PGC-2018,Alcohol dependency,Neuropsychiatric
broad_antisocial_behavior,Antisocial behavior,Personality
cannabis_use_disorder-PGC-2020,Cannabis use disorder,Neuropsychiatric
childhood_trauma_PGC2020,Childhood trauma,Other
consc_BIG5,Conscientiousness,Personality
CTGlab_2019_insomnia,Insomnia,Neuropsychiatric
depression-PGC-2019,Depression,Neuropsychiatric
epilepsy,Epilepsy,Neuropsychiatric
extra_BIG5,Extraversion,Personality
functionalConnectivity_Yeo7networkParcellation_Default,FC default mode,Brain MRI
functionalConnectivity_Yeo7networkParcellation_Dorsal.Attention,FC dorsal attention,Brain MRI
functionalConnectivity_Yeo7networkParcellation_Frontoparietal,FC frontoparietal,Brain MRI
functionalConnectivity_Yeo7networkParcellation_global,FC global,Brain MRI
functionalConnectivity_Yeo7networkParcellation_Limbic,FC limbic,Brain MRI
functionalConnectivity_Yeo7networkParcellation_Somatomotor,FC somatomotor,Brain MRI
functionalConnectivity_Yeo7networkParcellation_Ventral.Attention,FC ventral attention,Brain MRI
functionalConnectivity_Yeo7networkParcellation_Visual,FC visual,Brain MRI
hatoum2023-executive_functioning,Executive functioning,Cognitive
Neuro_BIG5,Neuroticism,Personality
open_BIG5,Openness,Personality
PGC2_exclUKBB_excl23andMe_alzheimers,Alzheimer's,Neuropsychiatric
PGC2019-TouretteSyndrome,Tourette's,Neuropsychiatric
PTSD-PGC-2019,PTSD,Neuropsychiatric
rare_neurodevelopmental_condition,Neurodevelopmental condition,Neuropsychiatric
UKBB_fastGWA_leftHanded,Left-handed,Other
vocal_pitch_median_f0,Vocal pitch,Other
