pheno,x,beta,std.error,statistic,p.value,n,n_control,n_case
dx_dev_lang_disorder,haqer_rare_variant_reversion_count,0.16243089252679616,0.04765045348726445,3.408800559898325,6.52491635283152e-4,2151,704,1447
dx_intellectual_disability,rand_rare_variant_reversion_count,0.0814493816277037,0.054305802027790305,1.4998283532581473,0.13365887080849478,2151,1726,425
dx_dev_lang_disorder,har_rare_variant_reversion_count,0.036174676909672895,0.046748511456213296,0.7738145190688196,0.43904048523847733,2151,704,1447
dx_intellectual_disability,haqer_rare_variant_reversion_count,0.008732303889999118,0.0554269833379496,0.15754607889728517,0.8748144955774316,2151,1726,425
dx_intellectual_disability,har_rare_variant_reversion_count,-0.00540074059704192,0.05499276110060745,-0.0982082093888947,0.9217669638296888,2151,1726,425
dx_dev_lang_disorder,rand_rare_variant_reversion_count,0.004375869442593681,0.04651885283363631,0.09406658109654904,0.9250562670582283,2151,704,1447
combined_phrases_age_mos,haqer_rare_variant_reversion_count,0.06283389122886952,0.026397523229489545,2.3802949497426984,0.017433131756454424,1394,NA,NA
combined_phrases_age_mos,har_rare_variant_reversion_count,0.05708139825591995,0.02635530608796452,2.1658408392375637,0.030493168722211562,1394,NA,NA
combined_phrases_age_mos,rand_rare_variant_reversion_count,-0.005254867922635411,0.026378354765288537,-0.19921135982105784,0.8421265912078444,1394,NA,NA
combined_words_age_mos,haqer_rare_variant_reversion_count,0.09107944178004772,0.026511027306767698,3.4355304578030097,6.088446471204425e-4,1394,NA,NA
combined_words_age_mos,har_rare_variant_reversion_count,0.056525751418355995,0.02646862863996651,2.135575370648576,0.03288864654645819,1394,NA,NA
combined_words_age_mos,rand_rare_variant_reversion_count,-0.022339348255400536,0.026491776421999312,-0.8432559560954729,0.39923060195547344,1394,NA,NA
used_words_age_mos,haqer_rare_variant_reversion_count,0.05782391066209724,0.026638602391942014,2.1706810969778414,0.03012433020243087,1394,NA,NA
used_words_age_mos,har_rare_variant_reversion_count,0.04724056435123459,0.026595999696324223,1.77622818809716,0.07591433220702902,1394,NA,NA
used_words_age_mos,rand_rare_variant_reversion_count,0.015786758030542372,0.026619258868995726,0.5930577597308577,0.5532391132507598,1394,NA,NA
walked_age_mos,haqer_rare_variant_reversion_count,0.007342318177265168,0.026635686380807974,0.27565717933049355,0.7828524198805893,1394,NA,NA
walked_age_mos,har_rare_variant_reversion_count,-0.037344714322866186,0.02659308834872068,-1.4043015174904547,0.16045280323222255,1394,NA,NA
walked_age_mos,rand_rare_variant_reversion_count,-0.002160318594837997,0.02661634497531242,-0.08116511101887833,0.9353223468225864,1394,NA,NA
